top_k,similarity_threshold,query,precision,recall,map,ndcg,retrieved_count,query_latency_ms
5,0.4,digital libraries,1.0,0.08333333333333333,1.0,1.0,5,4.18
5,0.4,renewable energy storage,1.0,0.375,1.0,0.7227265726449519,3,4.83
5,0.4,OCR for scanned theses,1.0,0.1111111111111111,1.0,0.3391602052736161,1,4.91
5,0.4,semantic search,1.0,0.10416666666666667,1.0,1.0,5,4.25
10,0.0,AI in healthcare,0.9,0.225,1.0,0.9363792118010483,10,4.66
10,0.0,wireless communication,0.6,0.35294117647058826,0.9333333333333332,0.7125523635307982,10,4.73
10,0.0,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,4.63
10,0.0,renewable energy storage,0.6,0.75,1.0,0.8358912271816661,10,4.98
10,0.0,OCR for scanned theses,0.1,0.1111111111111111,1.0,0.23504554941448536,10,5.24
10,0.0,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,4.37
10,0.15,AI in healthcare,0.9,0.225,1.0,0.9363792118010483,10,4.5
10,0.15,wireless communication,0.6,0.35294117647058826,0.9333333333333332,0.7125523635307982,10,6.13
10,0.15,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,5.05
10,0.15,renewable energy storage,0.6,0.75,1.0,0.8358912271816661,10,4.05
10,0.15,OCR for scanned theses,0.1,0.1111111111111111,1.0,0.23504554941448536,10,6.58
10,0.15,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,7.37
10,0.2,AI in healthcare,0.9,0.225,1.0,0.9363792118010483,10,5.3
10,0.2,wireless communication,0.5555555555555556,0.29411764705882354,1.0,0.6489315753318465,9,6.26
10,0.2,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,4.31
10,0.2,renewable energy storage,0.75,0.75,1.0,0.8358912271816661,8,5.45
10,0.2,OCR for scanned theses,0.1,0.1111111111111111,1.0,0.23504554941448536,10,4.38
10,0.2,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,4.38
10,0.25,AI in healthcare,0.9,0.225,1.0,0.9363792118010483,10,4.19
10,0.25,wireless communication,1.0,0.29411764705882354,1.0,0.6489315753318465,5,6.91
10,0.25,digital libraries,1.0,0.16666666666666666,1.0,1.0,10,6.72
10,0.25,renewable energy storage,1.0,0.75,1.0,0.8358912271816661,6,7.89
10,0.25,OCR for scanned theses,0.125,0.1111111111111111,1.0,0.23504554941448536,8,6.24
10,0.25,semantic search,0.9,0.1875,1.0,0.9363792118010483,10,5.08
