variant,precision_at_5,recall_at_5,map_at_5,ndcg_at_5,avg_retrieved_count,avg_query_latency_ms
Full framework,0.8666666666666667,0.22378812636165576,1.0,0.8898600342122694,10.0,4.205
Semantic + metadata filtering,0.4666666666666666,0.07068355119825707,0.7000000000000001,0.510314462986428,10.0,4.745
Semantic + threshold filtering,0.8888888888888888,0.22378812636165576,1.0,0.8898600342122694,6.666666666666667,5.813333333333333
Semantic only,0.8666666666666667,0.22378812636165576,1.0,0.8898600342122694,10.0,4.568333333333333
